profile,profile_key,latitude,longitude,reference_short
FA13B,57,66.1812,-39.043499,Koenig et al. (2014)
PARCA_6348_1998,64,63.0,-48.0,Mosley-Thompson et al. (2001)
PARCA_SDOMEB_1997,65,63.149,-44.817001,Mosley-Thompson et al. (2001)
NA,66,63.8,-45.0,Mosley-Thompson et al. (2001)
PARCA_NDYE3B_1997,67,66.0,-44.500999,Mosley-Thompson et al. (2001)
PARCA_6642B_1998,68,66.5,-42.5,Mosley-Thompson et al. (2001)
PARCA_6745_1998,69,67.5,-45.0,Mosley-Thompson et al. (2001)
PARCA_6841_1998,70,68.0,-41.0,Mosley-Thompson et al. (2001)
PARCA_6839_1998,71,68.5,-39.5,Mosley-Thompson et al. (2001)
PARCA_6945_1998,72,69.0,-45.0,Mosley-Thompson et al. (2001)
PARCA_6938_1998,73,69.0,-38.0,Mosley-Thompson et al. (2001)
PARCA_6943_1998,74,69.2,-43.0,Mosley-Thompson et al. (2001)
PARCA_6941_1998,75,69.4,-41.0,Mosley-Thompson et al. (2001)
PARCA_STUNUC_1997,76,69.5,-34.5,Mosley-Thompson et al. (2001)
PARCA_6939_1998,77,69.6,-39.0,Mosley-Thompson et al. (2001)
PARCA_7147_1997,78,71.05,-47.23,Mosley-Thompson et al. (2001)
NA,79,71.05,-47.23,Mosley-Thompson et al. (2001)
PARCA_7145_1998,80,71.5,-45.0,Mosley-Thompson et al. (2001)
PARCA_7247_1997,81,71.926,-47.487,Mosley-Thompson et al. (2001)
NA,82,71.926,-47.487,Mosley-Thompson et al. (2001)
PARCA_7249_1998,83,72.2,-49.400002,Mosley-Thompson et al. (2001)
PARCA_7245_1998,84,72.25,-45.0,Mosley-Thompson et al. (2001)
PARCA_7345_1998,85,73.0,-45.0,Mosley-Thompson et al. (2001)
PARCA_7347_1998,86,73.6,-47.200001,Mosley-Thompson et al. (2001)
PARCA_7551_1997,87,75.0,-51.0,Mosley-Thompson et al. (2001)
NA,88,75.0,-51.0,Mosley-Thompson et al. (2001)
PARCA_NASAEASTB_1997,89,75.0,-30.0,Mosley-Thompson et al. (2001)
PARCA_7653B_1997,90,76.0,-53.0,Mosley-Thompson et al. (2001)
GrIT_20100608,95,72.69529,-38.652664,Hawley et al. (2014)
GrIT_20100524,96,72.94081,-38.536243,Hawley et al. (2014)
GrIT_20110520,97,73.344,-39.723469,Hawley et al. (2014)
GrIT_20100524,98,73.52076,-38.638538,Hawley et al. (2014)
GrIT_20110512,99,73.6471,-38.6772,Hawley et al. (2014)
GrIT_20110522,100,74.01818,-40.621601,Hawley et al. (2014)
GrIT_20100524,101,74.093636,-38.7547,Hawley et al. (2014)
GrIT_20110512,102,74.42233,-39.294334,Hawley et al. (2014)
GrIT_20110524,103,74.507965,-41.339031,Hawley et al. (2014)
GrIT_20110512,104,75.1293,-40.541832,Hawley et al. (2014)
GrIT_20100520,105,75.408035,-41.068619,Hawley et al. (2014)
GrIT_20100520,106,75.94941,-42.16061,Hawley et al. (2014)
GrIT_20100520,107,76.24977,-42.110668,Hawley et al. (2014)
GrIT_20110424,108,76.40515,-67.306099,Hawley et al. (2014)
GrIT_20110424,109,76.40515,-67.306099,Hawley et al. (2014)
GrIT_20110422,110,76.405205,-67.306175,Hawley et al. (2014)
GrIT_20110422,111,76.405205,-67.306175,Hawley et al. (2014)
GrIT_20110424,112,76.44334,-67.008331,Hawley et al. (2014)
GrIT_20110424,113,76.44334,-67.008331,Hawley et al. (2014)
GrIT_20110424,114,76.47733,-66.07988,Hawley et al. (2014)
GrIT_20110508,115,76.499886,-43.732216,Hawley et al. (2014)
GrIT_20110508,116,76.499886,-43.732216,Hawley et al. (2014)
GrIT_20110524,117,76.50235,-44.84375,Hawley et al. (2014)
GrIT_20100518,118,76.79086,-44.235943,Hawley et al. (2014)
GrIT_20110428,119,76.80338,-64.889748,Hawley et al. (2014)
GrIT_20110708,120,76.93487,-63.1502,Hawley et al. (2014)
GrIT_20110530,121,77.13367,-61.043617,Hawley et al. (2014)
GrIT_20110428,122,77.13418,-61.043427,Hawley et al. (2014)
GrIT_20110430,123,77.2648,-58.528416,Hawley et al. (2014)
GrIT_20100516,124,77.30409,-46.498451,Hawley et al. (2014)
GrIT_20110524,125,77.34962,-46.821033,Hawley et al. (2014)
GrIT_20110508,126,77.35958,-47.146584,Hawley et al. (2014)
GrIT_20110528,127,77.370735,-55.926983,Hawley et al. (2014)
GrIT_20110504,128,77.41343,-54.615868,Hawley et al. (2014)
GrIT_20110504,129,77.41343,-54.615868,Hawley et al. (2014)
GrIT_20110526,130,77.414566,-49.021435,Hawley et al. (2014)
GrIT_20110506,131,77.4492,-50.539516,Hawley et al. (2014)
GrIT_20100516,132,77.4558,-49.886066,Hawley et al. (2014)
NEEM2009S2_Baker,133,77.45,-51.06,Baker et al. (2009)
NA,134,76.71889,-65.416672,Benson et al. (2013)
NA,135,77.30833,-62.416672,Benson et al. (2013)
NA,136,77.16667,-57.916672,Benson et al. (2013)
NA,137,77.06667,-64.599998,Benson et al. (2013)
NA,138,77.06667,-54.75,Benson et al. (2013)
NA,139,77.25,-60.5,Benson et al. (2013)
NA,140,76.405,-67.98333,Benson et al. (2013)
NA,141,76.41133,-67.815002,Benson et al. (2013)
NA,142,76.39167,-67.269997,Benson et al. (2013)
NA,143,76.44,-66.654999,Benson et al. (2013)
NA,144,76.54444,-66.20417,Benson et al. (2013)
NA,145,76.54444,-66.20417,Benson et al. (2013)
NA,146,76.68056,-65.470833,Benson et al. (2013)
NA,147,76.73,-65.416672,Benson et al. (2013)
NA,148,76.80639,-64.966667,Benson et al. (2013)
NA,149,76.89667,-64.388893,Benson et al. (2013)
NA,150,76.98028,-63.872219,Benson et al. (2013)
NA,151,77.06667,-63.37167,Benson et al. (2013)
NA,152,77.15194,-62.863892,Benson et al. (2013)
NA,153,77.23611,-62.328892,Benson et al. (2013)
NA,154,77.22083,-61.541672,Benson et al. (2013)
NA,155,77.21944,-61.038059,Benson et al. (2013)
NA,156,77.19667,-60.388889,Benson et al. (2013)
NA,157,77.17194,-59.741669,Benson et al. (2013)
NA,158,77.14722,-59.097221,Benson et al. (2013)
NA,159,77.14722,-59.097221,Benson et al. (2013)
NA,160,77.1425,-58.445831,Benson et al. (2013)
NA,161,77.11111,-57.849998,Benson et al. (2013)
NA,162,77.06833,-57.248611,Benson et al. (2013)
NA,163,77.02778,-56.650002,Benson et al. (2013)
NA,164,77.10722,-56.275829,Benson et al. (2013)
NA,165,77.18889,-55.750561,Benson et al. (2013)
NA,166,77.22556,-52.777779,Benson et al. (2013)
NA,167,77.25694,-52.511669,Benson et al. (2013)
NA,168,77.28,-51.222778,Benson et al. (2013)
NA,169,77.3,-49.939999,Benson et al. (2013)
NA,170,77.3,-49.939999,Benson et al. (2013)
NA,171,77.3,-49.939999,Benson et al. (2013)
NA,172,76.41333,-68.283333,Benson et al. (2013)
NA,173,76.36667,-67.991669,Benson et al. (2013)
NA,174,76.36667,-67.991669,Benson et al. (2013)
NA,175,76.40167,-67.631668,Benson et al. (2013)
NA,176,76.40167,-67.631668,Benson et al. (2013)
NA,177,76.40167,-67.308327,Benson et al. (2013)
NA,178,76.40167,-67.308327,Benson et al. (2013)
NA,179,76.44333,-67.008331,Benson et al. (2013)
NA,180,76.46,-66.848328,Benson et al. (2013)
NA,181,76.465,-66.521667,Benson et al. (2013)
NA,182,76.51833,-66.386673,Benson et al. (2013)
NA,183,76.51833,-66.386673,Benson et al. (2013)
NA,184,76.55833,-66.129997,Benson et al. (2013)
NA,185,76.57667,-65.833328,Benson et al. (2013)
NA,186,76.60833,-65.588333,Benson et al. (2013)
NA,187,76.60833,-65.588333,Benson et al. (2013)
NA,188,76.675,-65.451668,Benson et al. (2013)
NA,189,76.72167,-65.389999,Benson et al. (2013)
NA,190,76.72167,-65.389999,Benson et al. (2013)
00-20,191,76.74,-66.18,Benson et al. (2013)
NA,192,76.80333,-64.889999,Benson et al. (2013)
NA,193,76.80333,-64.389,Benson et al. (2013)
NA,194,76.80333,-64.889999,Benson et al. (2013)
NA,195,76.80333,-64.889999,Benson et al. (2013)
NA,196,76.89,-64.396667,Benson et al. (2013)
NA,197,76.89,-64.396667,Benson et al. (2013)
NA,198,76.96333,-63.900002,Benson et al. (2013)
NA,199,76.96333,-63.900002,Benson et al. (2013)
NA,200,77.04833,-63.388329,Benson et al. (2013)
NA,201,77.04833,-63.388329,Benson et al. (2013)
NA,202,77.04833,-63.388329,Benson et al. (2013)
NA,203,77.14333,-62.89333,Benson et al. (2013)
NA,204,77.14333,-62.89333,Benson et al. (2013)
NA,205,77.23833,-62.328331,Benson et al. (2013)
NA,206,77.23833,-62.328331,Benson et al. (2013)
NA,207,77.235,-61.671669,Benson et al. (2013)
NA,208,77.235,-61.671669,Benson et al. (2013)
NA,209,77.21667,-61.021671,Benson et al. (2013)
NA,210,77.21667,-61.021671,Benson et al. (2013)
NA,211,77.18333,-60.39333,Benson et al. (2013)
NA,212,77.18333,-60.39333,Benson et al. (2013)
NA,213,77.18333,-60.39333,Benson et al. (2013)
NA,214,77.17667,-59.741669,Benson et al. (2013)
NA,215,77.17667,-59.741669,Benson et al. (2013)
NA,216,77.15167,-59.091671,Benson et al. (2013)
NA,217,77.15167,-59.091671,Benson et al. (2013)
NA,218,77.12833,-58.445,Benson et al. (2013)
NA,219,77.12833,-58.445,Benson et al. (2013)
NA,220,77.09333,-57.818329,Benson et al. (2013)
NA,221,77.09333,-57.818329,Benson et al. (2013)
NA,222,77.05833,-57.196671,Benson et al. (2013)
NA,223,77.05833,-57.196671,Benson et al. (2013)
NA,224,77.025,-56.556671,Benson et al. (2013)
NA,225,77.025,-56.556671,Benson et al. (2013)
NA,226,76.99317,-56.007999,Benson et al. (2013)
NA,227,76.99317,-56.007999,Benson et al. (2013)
NA,228,76.99317,-56.007999,Benson et al. (2013)
NA,229,76.38333,-68.0,Benson et al. (2010)
NA,230,76.48333,-66.916672,Benson et al. (2010)
NA,231,76.46,-66.848328,Benson et al. (2010)
NA,232,76.51667,-66.383331,Benson et al. (2010)
NA,233,76.60833,-65.588333,Benson et al. (2010)
NA,234,76.72167,-65.389999,Benson et al. (2010)
NA,235,76.8,-64.883331,Benson et al. (2010)
NA,236,76.88333,-64.400002,Benson et al. (2010)
NA,237,76.96667,-63.900002,Benson et al. (2010)
NA,238,77.05,-63.383331,Benson et al. (2010)
NA,239,77.15,-62.900002,Benson et al. (2010)
NA,240,77.02167,-62.366669,Benson et al. (2010)
NA,241,77.02167,-62.366669,Benson et al. (2010)
NA,242,76.92,-62.0,Benson et al. (2010)
NA,243,76.92,-62.0,Benson et al. (2010)
NA,244,77.23833,-62.328331,Benson et al. (2010)
NA,245,77.23333,-61.666672,Benson et al. (2010)
NA,246,77.21667,-61.01667,Benson et al. (2010)
NA,247,77.18333,-60.400002,Benson et al. (2010)
NA,248,77.18333,-59.73333,Benson et al. (2010)
NA,249,77.15,-59.099998,Benson et al. (2010)
NA,250,77.13333,-58.433331,Benson et al. (2010)
NA,251,77.1,-57.816669,Benson et al. (2010)
NA,252,77.06667,-57.200001,Benson et al. (2010)
NA,253,77.03333,-56.549999,Benson et al. (2010)
NA,254,77.0,-56.066669,Benson et al. (2010)
NA,255,77.03333,-54.51667,Benson et al. (2010)
NA,256,77.03333,-54.51667,Benson et al. (2010)
NA,257,77.05,-52.916672,Benson et al. (2010)
NA,258,77.05,-52.916672,Benson et al. (2010)
NA,259,77.05,-51.333328,Benson et al. (2010)
NA,260,77.06667,-49.599998,Benson et al. (2010)
NA,261,77.06667,-49.599998,Benson et al. (2010)
NA,262,77.06667,-48.01667,Benson et al. (2010)
NA,263,77.06667,-48.01667,Benson et al. (2010)
NA,264,76.965,-46.98333,Benson et al. (2010)
NA,265,76.965,-46.98333,Benson et al. (2010)
NA,266,76.63667,-45.700001,Benson et al. (2010)
NA,267,76.63667,-45.700001,Benson et al. (2010)
NA,268,76.31667,-45.099998,Benson et al. (2010)
NA,269,76.31667,-45.099998,Benson et al. (2010)
NA,270,75.985,-44.583328,Benson et al. (2010)
NA,271,75.985,-44.583328,Benson et al. (2010)
NA,272,75.63667,-43.950001,Benson et al. (2010)
NA,273,75.63667,-43.950001,Benson et al. (2010)
NA,274,75.29667,-43.416672,Benson et al. (2010)
NA,275,75.29667,-43.416672,Benson et al. (2010)
NA,276,74.94167,-42.966671,Benson et al. (2010)
NA,277,74.94167,-42.966671,Benson et al. (2010)
NA,278,74.59,-42.549999,Benson et al. (2010)
NA,279,74.59,-42.549999,Benson et al. (2010)
NA,280,74.22167,-42.166672,Benson et al. (2010)
NA,281,74.22167,-42.166672,Benson et al. (2010)
NA,282,74.87333,-41.799999,Benson et al. (2010)
NA,283,74.87333,-41.799999,Benson et al. (2010)
NA,284,73.51667,-41.416672,Benson et al. (2010)
NA,285,73.51667,-41.416672,Benson et al. (2010)
NA,286,73.16667,-41.099998,Benson et al. (2010)
NA,287,73.16667,-41.099998,Benson et al. (2010)
NA,288,72.815,-40.75,Benson et al. (2010)
NA,289,72.815,-40.75,Benson et al. (2010)
NA,290,72.46667,-40.333328,Benson et al. (2010)
NA,291,72.46667,-40.333328,Benson et al. (2010)
NA,292,72.11667,-39.933331,Benson et al. (2010)
NA,293,72.11667,-39.933331,Benson et al. (2010)
NA,294,71.77,-39.599998,Benson et al. (2010)
NA,295,71.77,-39.599998,Benson et al. (2010)
NA,296,71.425,-39.333328,Benson et al. (2010)
NA,297,71.425,-39.333328,Benson et al. (2010)
NA,298,71.08333,-38.966671,Benson et al. (2010)
NA,299,71.08333,-38.966671,Benson et al. (2010)
NA,300,71.0,-39.666672,Benson et al. (2010)
NA,301,71.0,-39.666672,Benson et al. (2010)
NA,302,70.90667,-40.633331,Benson et al. (2010)
NA,303,70.90667,-40.633331,Benson et al. (2010)
NA,304,70.775,-41.633331,Benson et al. (2010)
NA,305,70.775,-41.633331,Benson et al. (2010)
NA,306,70.63,-42.616669,Benson et al. (2010)
NA,307,70.63,-42.616669,Benson et al. (2010)
NA,308,70.46167,-43.583328,Benson et al. (2010)
NA,309,70.46167,-43.583328,Benson et al. (2010)
NA,310,70.3,-44.549999,Benson et al. (2010)
NA,311,70.3,-44.549999,Benson et al. (2010)
NA,312,70.25,-44.966671,Benson et al. (2010)
NA,313,70.25,-44.966671,Benson et al. (2010)
NA,314,70.175,-45.366669,Benson et al. (2010)
NA,315,70.175,-45.366669,Benson et al. (2010)
NA,316,70.105,-45.73333,Benson et al. (2010)
NA,317,70.105,-45.73333,Benson et al. (2010)
NA,318,70.04,-46.133331,Benson et al. (2010)
NA,319,70.04,-46.133331,Benson et al. (2010)
NA,320,69.97667,-46.5,Benson et al. (2010)
NA,321,69.97667,-46.5,Benson et al. (2010)
NA,322,69.91667,-46.933331,Benson et al. (2010)
NA,323,69.91667,-46.933331,Benson et al. (2010)
NA,324,69.87,-47.299999,Benson et al. (2010)
NA,325,69.87,-47.299999,Benson et al. (2010)
NA,326,69.80167,-47.666672,Benson et al. (2010)
NA,327,69.73167,-48.049999,Benson et al. (2010)
NA,328,72.55,-38.099998,Chellman et al. (2009)
NA,329,72.55,-38.099998,Chellman et al. (2009)
NA,330,72.55,-38.099998,Chellman et al. (2009)
NA,331,72.55,-38.099998,Chellman et al. (2009)
NA,332,72.55,-38.099998,Chellman et al. (2009)
NA,333,72.55,-38.099998,Chellman et al. (2009)
NA,334,72.55,-38.099998,Chellman et al. (2009)
NA,335,72.55,-38.099998,Chellman et al. (2009)
NA,336,72.55,-38.099998,Chellman et al. (2009)
NA,337,72.55,-38.099998,Chellman et al. (2009)
NA,338,72.55,-38.099998,Chellman et al. (2009)
NA,339,72.55,-38.099998,Chellman et al. (2009)
NA,340,72.55,-38.099998,Chellman et al. (2009)
NA,341,72.55,-38.099998,Chellman et al. (2009)
NA,342,72.55,-38.099998,Chellman et al. (2009)
NA,343,72.55,-38.099998,Chellman et al. (2009)
NA,344,72.55,-38.099998,Chellman et al. (2009)
NA,345,72.55,-38.099998,Chellman et al. (2009)
NA,346,72.55,-38.099998,Chellman et al. (2009)
NA,347,72.55,-38.099998,Chellman et al. (2009)
NA,348,72.55,-38.099998,Chellman et al. (2009)
NA,349,72.55,-38.099998,Chellman et al. (2009)
NA,350,72.55,-38.099998,Chellman et al. (2009)
NA,351,72.55,-38.099998,Chellman et al. (2009)
NA,352,72.55,-38.099998,Chellman et al. (2009)
NA,353,72.55,-38.099998,Chellman et al. (2009)
