reference_short,start_year,end_year,num_measurements
Mulvaney et al. (2002),1000,1994,995
Oerter et al. (2000),1025,1996,5437
US-ITASE et al. (2013),1430,2002,4336
Graf et al. (1988a b c d e f g h i j k l m n o p q),1461,1985,565
Banta et al. (2008),1521,2004,714
Philippe et al. (2016),1745,2011,267
Verfaillie et al. (1345),1799,2009,20841
Ferris et al. (2011),1800,2003,204
Medley et al. (2013),1800,2010,448
Spikes et al. (2005),1815,2000,59768
Fernandoy et al. (2010a b c d),1935,2006,247
Graf and Oerter (2006a b c d e f g h i j k l m n o p q r s t u v w x y z),1936,1990,397
Graf et al. (1999a b c d e f g h i j k l m n o p),1946,1994,454
Schlosser et al. (2002b),1955,1997,43
Wagenbach et al. (1994a b),1962,1989,48
SEAT10 et al. (2013),1966,2010,198
Anschütz et al. (2007a b c d e f),1966,2003,174
Schlosser et al. (2002),1975,1988,14
Morris et al. (2017),1985,2013,21
Konrad et al. (2019),1985,2014,61334
Oerter et al. (2008a b c d e f g h i j k l m n o p),1990,2005,204
