reference_short,start_year,end_year,num_measurements,reference_key
"Miller and Schwager (2000a,b,c,d,e)",871,1994,3245,"166, 167, 168, 169, 170"
"GRIP, Hammer and Dahl-Jensen (1999)",1000,1989,439,183
Osman et al. (2021),1000,2012,5507,181
Karlsson et al. (2016),1311,2011,5558,171
Mosley-Thompson et al. (2001),1700,1997,2765,"8, 178"
Banta and McConnell (2007),1701,2002,865,177
Lewis et al. (2017),1712,2014,278157,159
Bales et al. (2009),1741,2002,1031,176
Box et al. (2013),1742,2008,267,180
NEEM-08,1746,1999,254,179
"ACT cores, Miège et al. (2013)",1762,2010,327,173
Clausen and Hammer (1988),1763,1974,347,175
Hanna et al. (2011),1773,2003,465,172
Kawakami and Iizuka (2023),1800,2020,221,182
"Freitag et al. (2022a,b,c,d)",1864,2012,457,"161, 162, 163, 165"
"von Drygalski,  1897 as in Machguth et al. (2016)",1892,1893,60,148
"de Quervain,  1925 as in Machguth et al. (2016)",1912,1912,5,147
Vinther et al. (2022),1928,2010,83,164
"Loewe,  1933 as in Machguth et al. (2016)",1929,1931,14,149
"Ahlmann,  1941 as in Machguth et al. (2016)",1938,1940,36,113
"Bolzan and Strobel (1999a,b,c,d,e,f,g,h,i,j,k,l,m,n,o)",1940,1986,228,"12, 14, 15, 17, 18, 19, 20"
"Fristrup,  1952 as in Machguth et al. (2016)",1948,1950,4,105
"Bolzan and Strobel (2001a,b)",1952,1986,68,"13, 16"
"LaChapelle,  1955 as in Machguth et al. (2016)",1952,1953,6,136
"Rundle,  1965 as in Machguth et al. (2016)",1952,1964,42,137
"White,  1956 as in Machguth et al. (2016)",1953,1953,8,98
"Nobles,  1960 as in Machguth et al. (2016)",1953,1954,17,97
"Schytt,  1955 as in Machguth et al. (2016)",1953,1954,48,92
"Griffiths,  1961 as in Machguth et al. (2016)",1954,1956,52,91
Lewis et al. (2019),1955,2016,869199,90
"Davis,  1971 as in Machguth et al. (2016)",1955,1959,17,93
"Kuhlman,  1959 as in Machguth et al. (2016)",1957,1957,1,150
"ACFEL,  1963 as in Machguth et al. (2016)",1957,1957,7,95
Hanna et al. (2006),1957,2002,1281,174
"Davis,  1967 as in Machguth et al. (2016)",1960,1964,16,94
"Pert,  1971 as in Machguth et al. (2016)",1963,1963,20,115
Graeter et al. (1002),1966,2015,268,89
"Clausen,  2001 as in Machguth et al. (2016)",1970,1995,13,102
Miège et al. (2013),1973,2009,92,5
GEUS unpublished,1977,2022,254,153
"Clement (1981a,b,c,d) as in Machguth et al. (2016)",1977,1980,180,"120, 121, 122"
"Braithwaite,  1982 as in Machguth et al. (2016)",1979,1981,58,131
"Clement,  1980 as in Machguth et al. (2016)",1979,1979,1,126
"Clement (1982a,b,c) as in Machguth et al. (2016)",1980,1982,120,"123, 127"
"Ahlstrøm,  2003 as in Machguth et al. (2016)",1980,2000,85,135
"Ahlstrøm,  2007 as in Machguth et al. (2016)",1981,1990,422,138
"Clement (1983a,b,c,d) as in Machguth et al. (2016)",1981,1983,130,"124, 125"
"Braithwaite,  1983 as in Machguth et al. (2016)",1981,1982,34,132
"Braithwaite,  1989 as in Machguth et al. (2016)",1981,1988,124,"130, 133"
Machguth et al. (2016),1982,2014,1104,"99, 101, 103, 104, 106, 108, 111, 112, 116, 117, 118, 119, 129, 134, 139, 140, 141, 142, 143, 145, 146, 151, 152"
"Thomsen,  1984 as in Machguth et al. (2016)",1982,1983,1,144
"Jung-Rothenhäusler,  1995 as in Machguth et al. (2016)",1989,1994,53,109
Miège et al. (2013b),1992,2009,142975,10
"Oerter,  1995a as in Machguth et al. (2016)",1993,1994,23,107
"Bøggild,  1995 as in Machguth et al. (2016)",1994,1995,27,110
"GC-Net (Steffen et al., 2023) as in Machguth et al. (2016)",1999,2009,16,100
"PROMICE (Fausto et al., 2023) as in Machguth et al. (2016)",2000,2020,242,96
"Podlech,  2004 as in Machguth et al. (2016)",2001,2003,3,128
Dibb et al. (2411),2003,2016,161,21
Burgress et al. (2010),2003,2005,2,154
PROMICE (2023),2007,2023,17993,185
"Hynek,  2014b as in Machguth et al. (2016)",2007,2013,93,114
Montgomery et al. (2020),2009,2016,286162,160
Schaller et al. (2016),2011,2012,18,155
Hermann et al. (2018),2013,2017,19,156
Kjær et al. (2021),2014,2018,37,"158, 184"
Niwano et al. (2020),2017,2018,4,157
