reference_short,start_year,end_year,num_measurements,reference_key
Anderson et al. (1958),1957,1957,46,4
Aughenbaugh et al. (1959),1957,1958,22,3
P.J. et al. (1959),1957,1958,15,6
Cameron et al. (1964),1957,1957,1,108
Crary et al. (1962),1957,1959,54,5
Kojima et al. (1964),1958,1958,5,9
Goodwin et al. (1959),1958,1959,22,7
Long et al. (1961),1958,1959,26,10
Crary et al. (1963),1958,1959,15,8
Stuart et al. (1961),1959,1960,12,12
Pirrit et al. (1961),1959,1969,27,11
Brecher et al. (1964),1960,1960,26,29
Shimizu et al. (1964),1960,1962,63,13
Giovinetto et al. (1963),1961,1961,14,14
Taylor et al. (1971),1962,1963,24,15
Cameron et al. (1968),1963,1965,29,16
Picciotto et al. (1971),1965,1968,33,30
Fujiwara et al. (1971),1968,1969,23,17
Shimizu et al. (1972),1969,1970,25,18
Peel et al. (1976),1970,1970,7,19
Yamada et al. (1975),1972,1973,8,20
Satow et al. (1977),1974,1975,36,25
Thomas et al. (1984),1974,1978,96,21
Peel et al. (1982),1975,1975,6,23
Martin et al. (1978),1975,1975,54,22
Potter et al. (1984),1975,1975,19,24
Reinwarth et al. (1981),1982,1982,1,104
Graf et al. (1988),1984,1990,11,1
Oerter et al. (2006),1990,1990,1,105
Graf et al. (1999),1990,1992,2,2
Stenni et al. (2000),1992,1992,1,102
Maggi et al. (1998),1994,1994,1,101
Van Den Broeke et al. (1999),1996,1996,15,26
Taldiceproject,1996,1996,1,109
Oerter et al. (2000),1996,1998,6,114
Magand et al. (2004),2002,2021,20,110
Xiao et al. (2008),2005,2005,1,111
Fernandoy et al. (2010),2007,2007,1,103
Schwanck et al. (2016),2009,2009,1,106
Zagorodnov et al. (2012),2010,2010,1,112
Picard et al. (2022),2012,2020,19,"82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
Mulvaney et al. (2017),2013,2014,21,27
Fourteau et al. (2019),2016,2016,1,107
Inoue et al. (2023),2018,2018,1,113
